name,category,price,stock,description,badge,brand,image
Air grease Lubricator,hand-tools,57.75,100,,,INGCO,AGL02301.png
Welding Machine Smart MIG 210,tools,103,100,,,Edon,Welding-Machine-Smart-MIG-210.png
220 mm Adjustable Block Plane,hand-tools,9.25,100,,,Stanley,1-12-0220.png
Welding Machine Expert MIG 205,tools,105,100,,,Edon,Welding-Machine-Expert-MIG-205.png
Electrode holder 800A,tools,2,100,,,Total,TWAH8006.png
175-490mm Inspection Mirror,hand-tools,1.25,100,,,HARDEN,660248.png
Electrode holder 500A-1,tools,1.75,100,,,Total,TWAH5006.png
Tweezer Round Point Anti Static,hand-tools,0.75,100,,,HARDEN,660211.png
MMA welding machine 250A,tools,43,100,,,Total,TW12501.png
250mm Adjustable Block Plane,hand-tools,16,100,,,Stanley,250mm-Adjustable-Block-Plane.png
Welding mask-2,tools,1.75,100,,,Total,TSP9201.png
5PCS L-TYPE WRENCH SET,hand-tools,5.5,100,,,Generic,15085.png
Electric soldering iron 40w,tools,2.25,100,,,Total,TET1406.png
"Hand riveter 10.5""-1",hand-tools,2.25,100,,,Total,THT32105.png
Welding Machine Smart MIG 250,tools,60,100,,,Edon,SMARTMIG-250.png
"Hand riveter 10.5""",hand-tools,2.5,100,,,Total,THT32104.png
MIG Welding Machine 180 AL,tools,135,100,,,Generic,180-AL.png
Grease Gun 500Gr,hand-tools,4.75,100,,,Total,THT111051.png
MIG Welding Machine 140 SNY,tools,80,100,,,Generic,140-SNY.png
Multi-function hammer,hand-tools,4.75,100,,,Total,THMFH0126.png
INVERTER MMA DC WELDING MACHINE 160A,tools,39,100,,,TOLSEN,44016.png
Foldable multi-function tool,hand-tools,4.5,100,,,Total,TFMFT01151.png
PIPE WELDING MACHINE SET 800W,tools,12.5,100,,,TOLSEN,33022.png
Knife Blade 18mm (10pcs),hand-tools,0.65,100,,,INGCO,HKNSB181.png
PIPE WELDING MACHINE SET 700/1500W,tools,17.75,100,,,TOLSEN,33021.png
DC ARC/ IGBT Welding  ARC/IGBT300A,tools,150,100,,,DCA,ZX7-350.png
"STS Flat Head CSK 8x3"" (100pcs)",hand-tools,1.25,100,,,Generic,STS-Flat-Head-CSK-8x3-(100pcs).png
DC ARC / IGBT Welding  ARC/IGBT/250A,tools,120,100,,,DCA,ZX7-300.png
DC ARC Welding ARC/MMA/200,tools,75,100,,,DCA,ZX7-250.png
DC ARC Welding ARC/MMA/160,tools,60,100,,,DCA,ZX7-200.png
"INSULATED COMBINATION PLIERS(INDUSTRIAL) 200MM,8""",hand-tools,3.5,100,,,TOLSEN,V38118.png
WELDING DEFECT DEVELOPER,tools,4,100,,,Sprayon,WL745.png
"INSULATED COMBINATION PLIERS(INDUSTRIAL) 160MM,6""",hand-tools,3.25,100,,,TOLSEN,V38116.png
"P400 Sand Paper 125mm 5""",tools,1.75,100,,,Makita,P-43614.png
WELDING DEFECT DETECTOR PENITRATENT,tools,2.75,100,,,Sprayon,WL744.png
8PCS INSULATED SCREWDRIVER SETS,hand-tools,6.25,100,,,TOLSEN,V32408.png
"P320 Sand Paper 125mm 5""",tools,1.75,100,,,Makita,P-43608.png
VDE NUT SCREWDRIVER 14 * 125MM,hand-tools,3.25,100,,,TOLSEN,V31214.png
TIG Welding  ARC/200,tools,85,100,,,DCA,TIG200.png
"P240 Sand Paper 125mm 5""",tools,1.75,100,,,Makita,P-43599.png
VDE NUT SCREWDRIVER 13 * 125MM,hand-tools,2.75,100,,,TOLSEN,V31213.png
DC MIG / MAG Welder,tools,450,100,,,DCA,NBC-350.png
"P180 Sand Paper 125mm 5""",tools,1.75,100,,,Makita,P-43583.png
VDE NUT SCREWDRIVER 12 * 125MM,hand-tools,2.5,100,,,TOLSEN,V31212.png
DC MIG /MAG Welder NBC-270 Internal,tools,250,100,,,DCA,NBC-270.png
"P120 Sand Paper 125mm 5""",tools,1.75,100,,,Makita,P-43577.png
VDE NUT SCREWDRIVER 11 * 125MM,hand-tools,2.25,100,,,TOLSEN,V31211.png
WELDING MASK-1,tools,1.75,100,,,TOLSEN,45086.png
"P100 Sand Paper 125mm 5""",tools,1.75,100,,,Makita,P-43561.png
VDE NUT SCREWDRIVER 10.0 * 125MM,hand-tools,2,100,,,TOLSEN,V31210.png
