name,category,price,stock,description,image_url,badge
Impact Driver 18V Brushless,power-tools,24.500,in-stock,"Brushless 18V impact driver with 210Nm torque, 3-speed settings, belt clip and LED light. Includes 2Ah battery and charger.",Bahar-Products/SKU-0061.jpg,New
Combination Square 300mm,measuring,3.800,in-stock,"300mm combination square with cast iron head, spirit level, scriber and steel ruler. For accurate 90° and 45° checks.",Bahar-Products/SKU-0062.jpg,
Safety Boots Steel Toe Size 42,safety,8.500,in-stock,"Steel toe cap safety boots, slip-resistant sole, ankle support. Meets EN ISO 20345 S1P standard. Size 42.",Bahar-Products/SKU-0063.jpg,
Hacksaw 300mm Adjustable,cutting,2.200,in-stock,"300mm adjustable hacksaw with bi-metal blade, comfortable soft-grip handle. Cuts metal, plastic and conduit.",Bahar-Products/SKU-0064.jpg,
Anchor Bolts M10 — 10 Pack,fasteners,1.500,in-stock,"M10 × 75mm zinc-plated anchor bolts for concrete and masonry. 10-pack with nuts and washers included.",Bahar-Products/SKU-0065.jpg,
Tool Belt 5-Pocket,accessories,5.500,in-stock,"5-pocket tool belt with hammer loop, tape clip and quick-release buckle. Adjustable waist 28-50 inches. Heavy-duty nylon.",Bahar-Products/SKU-0066.jpg,Popular
Cordless Circular Saw 18V,power-tools,32.000,in-stock,"18V cordless circular saw, 165mm blade, 0-45° bevel, 55mm depth of cut. Includes blade, rip fence and 4Ah battery.",Bahar-Products/SKU-0067.jpg,New
Digital Vernier Caliper 150mm,measuring,4.200,in-stock,"150mm digital vernier caliper with LCD display, metric and imperial, 0.01mm resolution, stainless steel body.",Bahar-Products/SKU-0068.jpg,
Hi-Vis Safety Vest Class 2,safety,1.800,in-stock,"Class 2 high-visibility waistcoat with 2 reflective strips, front zip, 2 side pockets. One size fits most.",Bahar-Products/SKU-0069.jpg,
Zip Ties 200mm — 100 Pack,accessories,0.600,in-stock,"100-pack of 200mm × 3.6mm natural nylon cable ties. Reusable type with smooth surface for easy routing.",Bahar-Products/SKU-0070.jpg,
